Frame,Pitch,Yaw,Roll
1,7.804933769310221,-1.4394880574186375,-0.12864046171112062
2,8.737912363006558,-1.5655766786083316,-0.13487191325426037
3,8.73023220243268,-1.8325292171625096,-0.13620907281619948
4,8.594547336745007,-1.6370514839938557,-0.14195638317765774
5,8.6401863734076,-1.7516552289830003,-0.14177758897225662
6,8.75034782849824,-1.640023953964805,-0.1358774940107366
7,8.708324148836788,-1.6548944139241737,-0.1421352847966793
8,8.78753091733019,-1.6244116647311946,-0.1418122333839267
9,8.831900228262988,-1.5071394795887816,-0.14055528643625267
10,8.765734940482792,-1.4852715566165342,-0.14054083523018907
11,8.200230331055849,-2.0801846577495393,-0.15110289664580207
12,7.953732457764102,-1.6396939456249922,-0.16109339622630728
13,7.919134416348665,-1.497401118521812,-0.16942202317853025
14,7.743532458437555,-1.0768615061155673,-0.1844901390307561
15,7.782039781368456,-0.8022415168819949,-0.17371059129400374
16,8.03167546053882,-1.1369259935345981,-0.16143199424789537
17,8.007509213951074,-0.8067433802399584,-0.15305960173455177
18,7.995579908196361,-1.040775015708791,-0.15190384093766907
19,8.060332360136517,-1.0662383315337032,-0.1617497352312001
20,7.997114110496385,-1.0415634018353914,-0.16115701081903347
21,7.8390021776854715,-1.0450555091070428,-0.14048805890223248
22,7.983258932960601,-1.0287944154007405,-0.14693633660139607
23,8.258504161260753,-1.2103346999333569,-0.1373266690326311
24,6.946414324886215,-1.2224577741202842,-0.15343840587643912
25,7.419036575471586,-0.9614297592583995,-0.14905461905376197
26,6.547511493858114,-0.5107701112123848,-0.1899144845714213
27,6.744240568107194,-0.7617426691736062,-0.1870556232396268
28,7.389664937008355,-0.3822065824271611,-0.17183265176635534
29,7.880268660144661,-0.29554946355123046,-0.16195985524561066
30,7.400367111782824,-0.21483656484053976,-0.1681793208902923
31,6.4788747678077465,0.008178278104315853,-0.1724881076015646
32,6.725941060770905,0.2155779829595047,-0.18419444584181
33,6.370794213482579,-0.07050043211952094,-0.1952012111649345
34,6.140666256141475,-0.425135046008124,-0.22817949039112168
35,5.350243110377907,-0.3033656546371139,-0.24663849740755264
36,5.7212031752702925,-0.4437352208888225,-0.23046580780885909
37,5.542023300081835,-0.18981770968409897,-0.22397347891367475
38,4.9363933592202915,0.09676278639636807,-0.2020446846616663
39,4.8489862542335205,0.6078031490636843,-0.1969592583897446
40,5.302528969658798,1.2528280975560089,-0.20162812136603778
41,5.539941653800456,1.8912227599811964,-0.18304560684376336
42,6.0215038023459,2.3315378682282955,-0.1659735968317576
43,5.71278089966298,2.4922401875660514,-0.18073203254911374
44,5.5410105139829495,2.5547531243000656,-0.20558884435041658
45,5.304108353332323,2.8571829965347546,-0.19340764895591045
46,5.509184905834195,2.8967300271145273,-0.20214915868524255
47,5.598292073787793,2.9785698323193093,-0.19566719082277467
48,5.582982295889326,2.8278480349815154,-0.19606269186963754
49,5.25239527466042,2.765347635835892,-0.20709532850953302
50,5.188083263273003,2.5667437270118962,-0.20502794169799782
51,5.9058326486605495,2.584727681260511,-0.19554983381839072
52,6.3087265194287445,2.3913628074906734,-0.16043996598085974
53,6.034618965141253,2.2054107384806763,-0.1467787351040401
54,5.450858221842797,2.6144905526468394,-0.16280806816504279
55,2.6386197203891872,2.5401435981525187,-0.18122583541085271
56,2.788591240635403,2.3110779965391046,-0.1753010863396306
57,3.5092473788420433,2.4469206935549623,-0.18973059497709333
58,4.274852708236892,2.4758042624516285,-0.17874793624492322
59,5.610517895695484,2.701955559128994,-0.19477122454844178
60,5.616098411562973,2.330274539331401,-0.19890109551185509
61,6.190497617352701,1.994188527287508,-0.1745420230065143
62,6.068166581559384,1.8187657627700047,-0.17092947219084223
63,5.82301413334056,1.8249918926137976,-0.17087751239833615
64,5.393551996968405,2.053929879089807,-0.1698922614779963
65,5.205377868825597,1.933597533756367,-0.17536277920732865
66,5.586400715630257,1.8172831142379817,-0.16934756758436592
67,6.351329904839188,1.9414630793949879,-0.15794758921687235
68,6.073087532393621,2.0246997482111158,-0.14100990882242237
69,6.23173242571636,1.874209533401734,-0.15640109383137213
70,6.9656992256542525,2.098866329786424,-0.15161625011759067
71,8.203045119810266,2.195398602871277,-0.14527104281236064
72,7.480297327074933,1.840590476675335,-0.14948371072276856
73,7.13478684125483,1.4662540023561197,-0.1690491378647814
74,7.413816812404404,0.8178100213816748,-0.14415147010736057
75,7.283899414033882,1.0369243135778996,-0.15351257762291035
76,7.426242875496621,1.1857597840080714,-0.14193841405727986
77,7.694644234854819,1.300038585233947,-0.14001082729331235
78,7.435647727330166,1.2213391636498603,-0.13604459963716603
79,7.496398162812313,1.1368269437649194,-0.15710229822867655
80,7.522926951247108,0.9703133973281466,-0.15501964121689538
81,6.960806959639961,0.7291045369244961,-0.15196570755740027
82,6.945359328456583,0.7991033471161562,-0.16194148062832842
83,8.162594329221491,0.6390392980810522,-0.16028532785288577
84,7.577186930735093,0.28569994678965965,-0.15758142352507903
85,8.019699214706943,0.3711461900576708,-0.16693359259283327
86,6.382359502292071,0.035432984674184605,-0.1379026230279552
87,7.1195859861490085,0.08228028142720613,-0.13614802579735055
88,7.55858987513487,-0.04429163076174857,-0.13488171901341234
89,8.12190795218722,-0.8107869972579332,-0.12407427789742949
90,8.968360974615214,-1.1066591677593414,-0.1474843737549522
91,9.360102213476443,-1.413527497922568,-0.16828601335860874
92,9.411099062212868,-1.3546272301726183,-0.17023888551304042
93,9.248482304963552,-1.2757128989474655,-0.1697529128268574
94,9.091956998783338,-1.414776542492807,-0.17794279467207233
95,8.870212881805443,-1.3956584202346438,-0.18038174313518324
96,8.849741997167312,-1.3442967488775113,-0.17865965403679968
97,8.913634388710959,-1.360044539949565,-0.18688661336160348
98,8.681665598398112,-1.2583466217628234,-0.182970757501751
99,8.755774079858849,-1.4403650917259143,-0.18807277184037627
100,9.090840848426598,-1.6321826925731315,-0.18273775426135663
101,9.227629456950051,-1.787519396841172,-0.1781523754750249
102,8.550605500485416,-1.6332477255773168,-0.1667767620758778
103,8.935714607248217,-1.609463915185091,-0.16210910822619629
104,8.829725180169135,-1.444195069580898,-0.16261124470509408
105,8.840092846955278,-1.2593099418708251,-0.16700714458467936
106,8.9141981096849,-1.0745767906760104,-0.16324151759145605
107,8.932962059812056,-1.0709765249475833,-0.16160044262905088
108,8.89888574014888,-0.9336027850502445,-0.16490464503290508
109,8.559169568782476,-0.8750040718282756,-0.16317408412207132
110,8.735030649257753,-0.8997697745556764,-0.13937615637963544
111,9.032950490006973,-1.1428421521932761,-0.1366114372668215
112,9.266622519391985,-0.8845379103194602,-0.13778371676798898
113,8.838004466885563,-0.6524723176912233,-0.13833352702677565
114,8.954013016147634,-0.4237436232502453,-0.13694986185571778
115,8.616834078942997,-0.4917047479130733,-0.13573628424627726
116,8.646236121865767,-0.777691018249868,-0.1285574515053586
117,8.228569751200187,-0.8477701097566462,-0.137998838033983
118,8.423140678199028,-0.7129398512381104,-0.14346104683667144
119,8.592989057610051,-0.784866126558409,-0.1444450942611654
120,7.999877418946067,-0.9095380818341064,-0.16687557681881907
121,8.050922324749612,-0.7806163201681011,-0.16562574644224182
122,8.105477835223832,-0.6767474005851746,-0.16700799307246908
123,8.164202183972822,-0.818972834201049,-0.15260992404387935
124,8.036743438292234,-0.8699879751259462,-0.14322346046092685
125,8.382097602764736,-0.7514477526075638,-0.14612755952349354
126,9.158322226560403,-0.8405570901265939,-0.14818983979204484
127,9.388370423715347,-1.0493130494076621,-0.13403650657847907
