Frame,Pitch,Yaw,Roll,EAR,MAR
1,0.9452843412182873,0.40422751151278136,-0.016457319190609276,0.20628025640447326,0.2499134798382118
2,0.8335918154359643,0.17910748682714991,-0.032611882438059396,0.30884345319493867,0.1997873219697371
3,0.6909654528251322,0.2699790707061602,-0.03498490634046625,0.30872449511993016,0.25145491044009416
4,0.6920920696663343,0.21011793159908135,-0.03556471368077612,0.32537590485283124,0.26664442194690513
5,0.6047532389942344,0.1942065624368204,-0.034708384341110385,0.3258648482632019,0.27810115055686424
6,0.6418681965310332,0.17460019669260415,-0.03523111615278289,0.3316578859372762,0.26284497211868746
7,0.6156123234146692,0.15837227099608706,-0.03462936220554611,0.33144279335964555,0.2572837590361572
8,0.6017815952878188,0.10382168381225933,-0.03492003933842074,0.3243547539773901,0.2586111131201881
9,0.5620362838638594,0.12109535343294328,-0.03461844844473124,0.32537590485283124,0.2586111131201881
10,0.5549297299677207,0.11282192809462352,-0.03376330113733768,0.3243547539773901,0.23999704620837756
11,0.5732313718235609,0.08625774485425758,-0.03294762833101088,0.3271393015352458,0.23831823285367243
12,0.5364451315264278,0.08405398382015636,-0.032648072033985065,0.32456417977834656,0.2362075176964294
13,0.4908306623676404,0.06573952404875337,-0.03107514646247447,0.32103067064600543,0.2510464226043276
14,0.49767569714793064,0.021227773029104738,-0.031126784002598135,0.31183907650493625,0.27193108574983227
15,0.6839684831287572,0.06418275739294485,-0.02807245140172987,0.26364576412059243,0.26561778377074213
16,0.7137395440073988,0.04877519099081118,-0.022887376884032595,0.18268068756109496,0.24220323252057302
17,0.6698460462497177,-0.12028128936799305,-0.023650633408517748,0.18672765242119563,0.29478875265186233
18,0.9147666306484055,-0.09561171945304626,-0.0264078026843514,0.24586276814802493,0.29660733099097686
19,0.804721524139976,-0.011297254706726118,-0.025592095400464508,0.28270890584958414,0.1516028542421436
20,1.2348011098867528,0.02164423796363961,-0.022291439676961067,0.3003852061548542,0.0758014271210718
21,1.22829433660558,0.07969599388620674,-0.02228720135775231,0.3064377501533704,0.06129360551760735
22,0.7899662696441592,0.030255695064653094,-0.030322751554288777,0.3222630512937124,0.22496162963187707
23,0.4379513687460981,-0.11723461125637888,-0.030475026642193533,0.30657993350236146,0.35697495474392127
24,0.6140133094072007,-0.1002954673626304,-0.03039743058347967,0.30318260515392337,0.36597454089784043
25,0.7610943409672538,-0.061943988751719435,-0.02856781224606165,0.31151603717297816,0.3147797554104197
26,0.7669569260368532,-0.08504393991595757,-0.029483997138438616,0.3109351471930645,0.30492543942828176
27,1.2867637825884128,0.03883557210657976,-0.026183265375107196,0.2961304559560856,0.0782983369459275
28,1.506262722525474,0.10606719164897485,-0.02434543299562713,0.30596759047923794,0.07554111272939015
29,1.1542203497728485,0.15979302740441192,-0.03024788815055986,0.30429790186040234,0.1541580548734089
30,1.2069716376507695,0.020597607277225784,-0.036283929525949075,0.30868374717856545,0.21682544669914366
31,1.376556459021669,0.11837174022739995,-0.03643721880123811,0.30781922821860075,0.22842778087237706
32,1.5545833222200243,0.15633373118977825,-0.0277168537913259,0.22014062725439484,0.1533929977694741
33,1.4133290923964197,0.04851593516593607,-0.020911675752508633,0.1404509783693169,0.1508393092841028
34,1.7104882321077595,0.1430739845455909,-0.022359143522084093,0.169012606313818,0.16466357812136703
35,1.8763640349877657,0.20463222530877742,-0.02418386155176154,0.22716594083527714,0.11660190581423467
36,2.018271657573034,0.24457144732670685,-0.0253230587601133,0.27183955449401964,0.11585688927269845
37,1.8464763912901325,0.4010304289181186,-0.02911319560853345,0.2931944568507499,0.1810471659625272
38,1.7809188241012495,0.4947208095256017,-0.028878618141761972,0.3159647614932397,0.22638175560674514
39,1.9573532707130399,0.6958633381588744,-0.02723550242984463,0.3204015365743763,0.08063467359130036
40,1.9439203749008744,0.7703128536049225,-0.024665400952025292,0.3041711784051328,0.09523809523809523
41,1.7484471739216083,0.7130991064173355,-0.02354454480539515,0.3043269921715706,0.15384615384615385
42,1.8793707640358148,0.8153804838296045,-0.030973138161303888,0.31560790502708874,0.2856782992810283
43,1.8344308599244898,0.8398097653344196,-0.02860746683391245,0.3163604921758607,0.3637848946029568
44,2.0440111792344546,0.8688653314361623,-0.028053936727208156,0.3280640400260938,0.30793095134604237
45,2.139881905547669,0.8259101848556972,-0.024667315893292262,0.32377034173253383,0.3181453022216151
46,2.025285972828069,0.7741764862612469,-0.02405264474958525,0.32725042194577875,0.3187067255565926
47,1.9692075651145473,0.730159824350005,-0.026393489511113276,0.3270414395831854,0.33319339490007405
48,2.0112507988396904,0.7287131338611652,-0.025638195692539417,0.3214326047414966,0.3476800642435556
49,1.914965561315839,0.6938340501761928,-0.027588743899321096,0.3219099348779316,0.3858212993612237
50,1.6338363287876638,0.71777709259821,-0.03288305180712374,0.3214326047414966,0.3819813839467149
51,1.500889084929218,0.8504284574854217,-0.025819944512789485,0.3159264628075434,0.08946260188763298
52,1.852632545854248,0.6726868799463641,-0.02394636464400424,0.3366491258497929,0.09081532183729997
53,1.586572376885882,0.7257991277568797,-0.025823603024251383,0.31723318727967464,0.17954539698246247
54,1.2836176881973766,0.63914801788513,-0.03183201583837944,0.3308086375681726,0.32321501718568185
55,1.2347705837570733,0.669503323042389,-0.026711912796947575,0.31475070029572344,0.30529066122266313
56,1.1114377913475084,0.6663355339033096,-0.024357071319770014,0.3289468377796525,0.2835508664991767
57,1.131504829622887,0.6017678591512449,-0.026293079132663676,0.33919531155461335,0.3012291626305183
58,1.1435923913564452,0.5746641761739507,-0.022046412826404047,0.32015393799481473,0.2700484442849302
59,1.1609504713509076,0.5830999270011752,-0.023164312424440458,0.31553537231566087,0.273869837318729
60,1.0784913270923282,0.5324161001189528,-0.031078186339856404,0.3156713854829944,0.3568153199348821
61,0.8891682565424597,0.4660646695504125,-0.03741198319398483,0.31521806633943517,0.4198931680043004
62,0.8446739834648713,0.7124434410962672,-0.02860746683391245,0.3006276939428257,0.14691591690258266
63,1.3042357849552906,0.5307856373630981,-0.023012923438906586,0.3160337254403993,0.0881971548056782
64,1.3690936755106842,0.5854912637351156,-0.02368854948017655,0.32277054962053914,0.07340252743933794
65,1.1070955070461137,0.5662702536345133,-0.03585571217200022,0.32555058782110335,0.23103554029326698
66,1.0830271674064922,0.4217827910366143,-0.03970638993514405,0.3323207414268756,0.34881109571329566
67,1.1195424023099418,0.4471149470696695,-0.04090409491233263,0.32669417030212505,0.33354301652280194
68,0.9331376098189217,0.40246822165404794,-0.045202605266267314,0.32828209454237045,0.40961596025952024
69,0.9121637923704069,0.39833437938117316,-0.04483116557130971,0.3209965972809519,0.40301617513697563
70,1.0277226242981163,0.6146914371951517,-0.0330020612135028,0.3075063524797935,0.10925503469670102
71,1.6761882933728152,0.4778519511482343,-0.028263616591061892,0.31879057605891137,0.09370425713316365
72,1.6128175446737727,0.4860695832948633,-0.02887207489524278,0.3192666201108233,0.07803931049764358
73,1.1526588841124406,0.45671499652900527,-0.031040166474946087,0.31613823782164885,0.18173475984461482
74,1.0375779699762946,0.4291519579860995,-0.032577102603310745,0.3115600297995804,0.16915071682835678
75,1.3199916320068001,0.4895373047843414,-0.028875346703842467,0.3157471473297663,0.0768866894674349
76,1.0548565648897603,0.5972092167765681,-0.030411412485696135,0.31148364192386924,0.07684127768066812
77,0.8790551257818056,0.6255793080511525,-0.03403223574735017,0.3208543374359436,0.09644250287077731
78,1.0060876108074976,0.5338782859936329,-0.040296799244246735,0.31941760187586776,0.19661566092456972
79,1.0411284523791808,0.37373910461579085,-0.040556185767493785,0.315019582105571,0.30196668540287513
80,1.0317939206350748,0.4914803896485753,-0.03569860296959484,0.3067306922612276,0.27689031077767173
81,1.3267206657527404,0.4667654694274828,-0.03178598253036354,0.3137843149202121,0.21212121212121213
82,1.5041862779061592,0.46883186406185484,-0.03232821324123155,0.3195214690000706,0.2153591306048558
83,1.3213347108304463,0.504945324224037,-0.03255534633815395,0.3270872223727718,0.2272466444440108
84,1.0680781285558074,0.515559251552733,-0.03591757439416489,0.3150670845743907,0.3283216414169452
85,1.0496561862152365,0.47835195841271977,-0.03267988572735302,0.31599755741362756,0.2753623188405797
86,1.2980989774046867,0.41113977773417604,-0.028003379943057488,0.30959607847525905,0.20588235294117646
87,1.369822721732295,0.49631966734851996,-0.028734322530928214,0.3188195408802655,0.23185970935353037
88,1.26844460071746,0.433931878781107,-0.029721742988912656,0.3213787670995493,0.26084217302272167
89,1.2533242760092342,0.4309981800715525,-0.03334379500913927,0.3265963267198455,0.2835820895522388
90,1.3293749570849838,0.48029849814190445,-0.03616657723461186,0.31508385427971697,0.3230386959072837
91,1.1488027173535695,0.5322267432918462,-0.04047457666408071,0.32422178462899365,0.3064117596469414
92,1.0544018333356402,0.5761938475464714,-0.03936589467955151,0.30916636196957487,0.21663658034191333
93,0.9394062862515907,0.6369707634565775,-0.04317703422036611,0.31346034789784694,0.22021249682742122
94,0.8532083532227153,0.6374274692703819,-0.043327739859100725,0.3223800373908274,0.2663339570340919
95,1.0240136769443011,0.6709059041436684,-0.04094564535805821,0.32508100539939533,0.2171861213815347
96,1.12776070750746,0.7092589214807244,-0.0399719716159792,0.31983588403126084,0.16927284226638314
97,1.21132345127507,0.7257985420413502,-0.038746682505842234,0.31368560196644196,0.152454805495907
98,1.3023518635126952,0.7049020732472049,-0.037196729871135224,0.3286556538869182,0.152454805495907
99,1.3175804485104234,0.6196006858738288,-0.03618746767807781,0.32769944595858136,0.1639124023930107
100,1.3070418855377532,0.6150618616937318,-0.039091363160081896,0.3184507533575811,0.333669016533538
101,1.1396724340392774,0.5240390532768173,-0.03670329114072548,0.3214319709198806,0.3333333333333333
102,1.1584037345718337,0.5461893086456668,-0.03451596411188747,0.3155001666037087,0.3582089552238806
103,1.2542585018362096,0.5651576747459792,-0.03228288748634911,0.3157767622903117,0.31343283582089554
104,1.3270733688525065,0.5525712847786952,-0.03135508794270109,0.32257978376777163,0.3283582089552239
105,1.328763035640984,0.5559564973904546,-0.03315912638207851,0.3201016499778748,0.35847983918237675
106,1.1603943616527765,0.5819578381701854,-0.03636455191079035,0.3204950373478537,0.35851976565565113
107,1.2445117354382216,0.6902762420306936,-0.028528102537656773,0.31140592493363106,0.09089865777760431
108,1.57551430977778,0.5494674530540578,-0.025391980375981046,0.31881685098123846,0.07692307692307693
109,1.5786608837291998,0.5559997408647017,-0.02581445577341562,0.31799850275737573,0.0784464540552736
110,1.1196392264970592,0.589667126306492,-0.0313987443745476,0.31325055098698706,0.18461538461538463
111,1.0199488825278584,0.550068702812996,-0.035302102145647316,0.3162831238028188,0.22278839440663809
112,1.1829153070317426,0.5131945674577658,-0.03632426308623896,0.3125874740227788,0.19669488287161283
113,1.0524099098790345,0.6286096270916228,-0.04343009499524492,0.3137992871612404,0.2241046242609822
114,0.925983771319363,0.5831269013952234,-0.04687796728486637,0.3249113417757732,0.2856687426701271
115,0.8506528181888007,0.5302548133971033,-0.04891927202268691,0.32479069880209555,0.40350877192982454
116,1.5866454046764178,0.5590259070050224,-0.032373475536074316,0.3261513950330396,0.0967741935483871
117,1.60264851461078,0.49473035716761665,-0.02423264102274534,0.30162011113071996,0.07572281660192283
118,1.5443741007789602,0.33970082653814254,-0.02191533011248078,0.19016194058449082,0.1673347485218994
119,1.6413574537617184,0.32640330835370507,-0.024244333491952975,0.19004471652038368,0.23478064489968545
120,1.9841389228983912,0.46431221319904503,-0.02275075932319687,0.21691764659859075,0.22754227481290862
121,1.8385217683768245,0.5448481683766021,-0.025259559582225345,0.2657021167923719,0.22736004311229713
122,1.6763512773322062,0.6949233913450747,-0.029624641461556144,0.2982530911639111,0.22886409507930341
123,1.624058532303098,0.7617295232282927,-0.031000576351974455,0.31120715826514744,0.2239787527579668
124,1.5366003603110063,0.8261780240603777,-0.03213476979334216,0.32841460481302637,0.20000000000000004
125,1.4497926089743574,0.8363131938988021,-0.03233113530145727,0.3254738061605002,0.21888024193902025
126,1.4531569184351814,0.7718224525678357,-0.03312492113644172,0.3285105400219167,0.2171605143400755
127,1.3949812072275984,0.7916474207851617,-0.030873852787833216,0.3246790130975245,0.19718977163744156
128,1.4069795438798842,0.8066563706111693,-0.03097466314287402,0.32159099764264376,0.17940585132446532
129,1.4170345150128913,0.8512134612254068,-0.031031034775859057,0.3189562988256095,0.2091152547977387
130,0.9711078665968689,0.7739634004526504,-0.034905157005642666,0.3252335240914036,0.3198532158108939
131,0.9646358169442845,0.7475367859320318,-0.03399057210910482,0.2992238971139918,0.3198532158108939
